MaGD,MaKH,NgayGD,GioGD,LoaiGD,SoTien,ChiNhanh,KenhGD,TrangThai,GhiChu
GD000262,KH0050,2024-06-10,13:08,Chuyển khoản,36691842,Hà Nội,Mobile App,Thành công,
GD000403,KH0036,2024-01-07,12:44,Rút tiền,176915707,Khánh Hòa,Internet Banking,Thất bại,
GD000427,KH0196,2024-05-14,13:53,Rút tiền,113523644,Khánh Hòa,Internet Banking,Thành công,
GD000080,KH0131,2024-02-22,13:25,Mua ngoại tệ,182869493,Hà Nội,Mobile App,Thành công,
GD000238,KH0109,2024-06-08,16:52,Thanh toán hóa đơn,114073827,THANH HÓA,Mobile App,Thành công,Chuyển tiền cho người thân
GD000930,KH0153,2024-01-09,13:06,Chuyển khoản,196174278,TP. Hồ Chí Minh,Mobile App,Thành công,
GD000234,KH0098,2024-03-24,09:13,Rút tiền,170810603,TP. Hồ Chí Minh,ATM,Thành công,
GD000601,KH0017,2024-03-28,10:17,Mua ngoại tệ,174532151,Hải Phòng,Internet Banking,Thành công,
GD000608,KH0050,2024-04-11,17:42,Rút tiền,127228061,Thanh Hóa,Quầy giao dịch,Thành công,
GD000257,KH0005,2024-05-04,22:45,Mua ngoại tệ,127828624,Đà Nẵng,POS,Thành công,
GD000867,KH0006,2024-04-15,12:33,Chuyển khoản,42623445,TP. Hồ Chí Minh,,Đang xử lý,
GD000035,KH0156,2024-04-05,15:48,Mua ngoại tệ,66478495,Thanh Hóa,ATM,Thành công,
GD000451,KH0099,2024-04-17,15:34,Mua ngoại tệ,156001319,Đồng Nai,Mobile App,Đang xử lý,
GD000530,KH0113,2024-05-28,11:03,Nạp tiền,-3063989,Nghệ An,Quầy giao dịch,Thành công,
GD000655,KH0169,2024-06-30,16:05,Nạp tiền,188546962,Nghệ An,Mobile App,Thành công,
GD000484,KH0027,2024-05-23,09:36,Thanh toán hóa đơn,85981937,Hải Phòng,ATM,Thành công,
GD000360,KH0088,2024-01-14,11:04,Mua ngoại tệ,167915779,Khánh Hòa,Internet Banking,Thành công,
GD000282,KH0025,2024-05-16,08:08,Mua ngoại tệ,110643932,Bình Dương,Mobile App,Thành công,
GD000404,KH0012,2024-03-24,15:25,Mua ngoại tệ,127858002,Hà Nội,Mobile App,Thành công,
GD000123,KH0162,2024-01-03,16:17,Mua ngoại tệ,28212700,Nghệ An,Internet Banking,Thành công,
GD000471,KH0046,2024-04-27,17:10,Mua ngoại tệ,177111530,Đồng Nai,Internet Banking,Thành công,
GD000677,KH0052,2024-04-30,12:44,Thanh toán hóa đơn,114004669,Đồng Nai,Quầy giao dịch,Thành công,
GD000390,KH0159,2024-01-21,12:12,Rút tiền,63954809,Thanh Hóa,Quầy giao dịch,Thành công,
GD000555,KH0054,2024-05-23,13:41,Rút tiền,138141550,Nghệ An,Internet Banking,Thành công,Lương tháng 5
GD000314,KH0098,2024-03-18,10:57,Mua ngoại tệ,45648190,Nghệ An,ATM,Thành công,Chuyển tiền cho người thân
GD000347,KH0022,2024-05-16,08:31,Chuyển khoản,6507735,Nghệ An,Internet Banking,Thành công,
GD000449,KH0160,2024-03-14,15:42,Nạp tiền,190989932,Hà Nội,Mobile App,Thành công,
GD000423,KH0137,2024-05-21,15:37,Rút tiền,191504251,Đà Nẵng,POS,Thành công,
GD000751,KH0039,2024-05-18,10:03,Chuyển khoản,78278272,Bình Dương,Quầy giao dịch,Thành công,Lương tháng 5
GD000781,KH0070,2024-05-30,17:36,Mua ngoại tệ,167719947,Hải Phòng,Quầy giao dịch,Thành công,
GD000879,KH0147,2024-05-11,17:28,Rút tiền,119357967,TP. Hồ Chí Minh,POS,Thành công,
GD000710,KH0184,2024-01-01,09:31,Rút tiền,82340481,Hải Phòng,Mobile App,Thành công,Chuyển tiền cho người thân
GD000236,KH0001,2024-06-29,09:55,Nạp tiền,188551251,Thanh Hóa,ATM,Thành công,Lương tháng 6
GD000383,KH0191,2024-04-12,08:16,Chuyển khoản,179981097,Khánh Hòa,POS,Thành công,
GD000196,KH0186,2024-01-09,16:08,Nạp tiền,976498065,Hải Phòng,Quầy giao dịch,Thành công,Trả nợ vay
GD000634,KH0053,2024-04-23,13:00,Chuyển khoản,168773960,Thanh Hóa,Quầy giao dịch,Thành công,
GD000271,KH0166,2024-03-26,13:31,Mua ngoại tệ,147278448,Khánh Hòa,Quầy giao dịch,Thành công,
GD000470,KH0049,2024-06-22,13:01,Nạp tiền,33536075,Khánh Hòa,ATM,Thành công,
GD000004,KH0116,2024-03-30,14:32,Nạp tiền,100689854,HẢI PHÒNG,Quầy giao dịch,Thành công,
GD000832,KH0009,2024-06-03,16:27,Mua ngoại tệ,78397614,Đà Nẵng,POS,Thành công,
GD000507,KH0185,2024-01-02,11:07,Chuyển khoản,1796630570,Hà Nội,Internet Banking,Thành công,Trả nợ vay
GD000096,KH0057,2024-01-06,02:12,Rút tiền,86912711,TP. HỒ CHÍ MINH,Mobile App,Thành công,
GD000805,KH0086,2024-04-30,12:52,Mua ngoại tệ,111587858,TP. Hồ Chí Minh,ATM,Thành công,
GD000493,KH0104,2024-02-15,15:33,Thanh toán hóa đơn,66875461,Hà Nội,Internet Banking,Thành công,
GD000216,KH0187,2024-04-24,10:12,Chuyển khoản,123165950,Khánh Hòa,Internet Banking,Thành công,
GD000049,KH0173,2024-04-20,09:58,Chuyển khoản,166421152,Nghệ An,ATM,Thành công,
GD000389,KH0124,2024-01-18,17:28,Thanh toán hóa đơn,135185788,  Thanh Hóa  ,Internet Banking,Thành công,
GD000038,KH0096,2024-04-07,14:24,Chuyển khoản,144817312,Đà Nẵng,Mobile App,Thành công,
GD000893,KH0143,2024-04-11,14:45,Rút tiền,88003909,Bình Dương,Internet Banking,Thành công,Lương tháng 4
GD000011,KH0090,24/04/2024,13:39,Thanh toán hóa đơn,15446939,Hà Nội,POS,Thành công,
GD000946,KH0132,2024-02-05,10:00,Chuyển khoản,79116467,Nghệ An,Mobile App,Thành công,
GD000525,KH0099,06/05/2024,15:02,Rút tiền,115768489,Nghệ An,POS,Thành công,
GD000599,KH0076,2024-02-09,10:38,Nạp tiền,61231280,TP. Hồ Chí Minh,Mobile App,Thành công,
GD000009,KH0080,2024-05-11,15:16,Chuyển khoản,95874525,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000706,KH0142,2024-05-18,13:26,Rút tiền,93314441,Cần Thơ,ATM,Thành công,
GD000179,KH0100,2024-03-20,15:40,Rút tiền,7719549,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000371,KH0052,2024-04-25,12:27,Thanh toán hóa đơn,100473679,Cần Thơ,Internet Banking,Thành công,
GD000460,KH0168,2024-02-06,16:33,Mua ngoại tệ,91697968,Khánh Hòa,Quầy giao dịch,Đang xử lý,
GD000591,KH0176,2024-06-11,16:34,Thanh toán hóa đơn,124580951,,Mobile App,Thành công,
GD000573,KH0086,2024-03-27,13:19,Rút tiền,5888462,Khánh Hòa,POS,Thành công,
GD000927,KH0104,2024-02-26,12:13,Nạp tiền,64999724,Bình Dương,POS,Thành công,
GD000799,KH0011,2024-04-09,14:10,Nạp tiền,78060535,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000502,KH0021,2024-03-15,13:15,Thanh toán hóa đơn,26393904,Cần Thơ,Mobile App,Thành công,
GD000750,KH0031,2024-03-19,15:59,Thanh toán hóa đơn,63162217,Cần Thơ,Quầy giao dịch,Thành công,Chuyển tiền cho người thân
GD000318,KH0174,2024-01-25,09:25,Nạp tiền,86899161,ĐÀ NẴNG,ATM,Thất bại,
GD000040,KH0062,2024-02-22,15:38,Chuyển khoản,117883183,Hải Phòng,Internet Banking,Thành công,
GD000353,KH0070,2024-03-03,11:29,Mua ngoại tệ,35946731,  TP. Hồ Chí Minh  ,Internet Banking,Thành công,
GD000717,KH0178,2024-04-04,15:02,Nạp tiền,18018680,Hà Nội,Quầy giao dịch,Thành công,Chuyển tiền cho người thân
GD000410,KH0075,2024-06-29,13:09,Rút tiền,60467232,TP. Hồ Chí Minh,ATM,Thành công,Chuyển tiền cho người thân
GD000936,KH0045,2024-05-19,11:58,Nạp tiền,12318737,Bình Dương,ATM,Thành công,
GD000979,KH0167,2024-05-19,11:40,Mua ngoại tệ,82934114,Hải Phòng,ATM,Thành công,
GD000263,KH0157,2024-02-13,11:05,Thanh toán hóa đơn,58150869,Thanh Hóa,Internet Banking,Thành công,
GD000732,KH0139,2024-03-10,14:50,Mua ngoại tệ,-4357716,Thanh Hóa,Mobile App,Thành công,
GD000268,KH0139,2024-01-30,17:55,Rút tiền,86073850,Bình Dương,ATM,Thành công,
GD000804,KH0105,2024-05-21,08:00,Rút tiền,-346610,Thanh Hóa,Internet Banking,Thất bại,
GD000381,KH0188,2024-04-20,10:44,Mua ngoại tệ,11771091,Hải Phòng,POS,Thành công,
GD000281,KH0092,2024-01-13,09:32,Rút tiền,25419472,Thanh Hóa,Quầy giao dịch,Thành công,
GD000730,KH0099,2024-02-22,10:05,Mua ngoại tệ,72454868,Khánh Hòa,ATM,Thành công,
GD000227,KH0023,2024-03-26,16:49,Nạp tiền,171540218,Hải Phòng,Quầy giao dịch,Thành công,Chuyển tiền cho người thân
GD000491,KH0099,2024-04-25,14:12,Chuyển khoản,82499085,Thanh Hóa,Internet Banking,Thành công,Lương tháng 4
GD000594,KH0052,2024-03-23,08:13,Mua ngoại tệ,161983416,Khánh Hòa,ATM,Thành công,
GD000124,KH0052,2024-04-01,08:35,Thanh toán hóa đơn,129077245,  Bình Dương  ,Internet Banking,Thành công,Lương tháng 4
GD000465,KH0188,2024-01-28,14:12,Thanh toán hóa đơn,162284180,,Internet Banking,Thành công,
GD000012,KH0113,2024-01-09,13:23,Thanh toán hóa đơn,41238243,Khánh Hòa,Internet Banking,Thành công,
GD000346,KH0022,2024-02-19,08:36,Mua ngoại tệ,5060098,Hà Nội,Internet Banking,Thành công,
GD000862,KH0115,2024-02-04,16:48,Thanh toán hóa đơn,167278313,Hải Phòng,ATM,Đang xử lý,Mua sắm online
GD000046,KH0142,2024-05-29,10:12,Nạp tiền,66012648,Khánh Hòa,Quầy giao dịch,Thành công,
GD000355,KH0095,2024-02-19,08:48,Nạp tiền,51458524,Hà Nội,Mobile App,Thành công,
GD000550,KH0064,04/01/2024,16:06,Mua ngoại tệ,42179738,Cần Thơ,,Thành công,
GD000495,KH0177,2024-03-02,10:11,Nạp tiền,3468479,Khánh Hòa,Quầy giao dịch,Thất bại,
GD000891,KH0064,2024-06-27,17:35,Thanh toán hóa đơn,152312335,Cần Thơ,Quầy giao dịch,Thành công,Lương tháng 6
GD000468,KH0178,2024-05-26,04:57,Mua ngoại tệ,155337055,Thanh Hóa,,Thành công,
GD000572,KH0056,2024-04-29,16:42,Rút tiền,86752225,Bình Dương,Internet Banking,Thành công,Trả nợ vay
GD000379,KH0034,2024-02-22,15:10,Mua ngoại tệ,54535107,Nghệ An,,Thành công,
GD000450,KH0123,2024-01-18,12:09,Chuyển khoản,103402321,Bình Dương,ATM,Thành công,
GD000247,KH0056,2024-06-02,09:05,Mua ngoại tệ,173970899,Thanh Hóa,Internet Banking,Thành công,
GD000697,KH0127,2024-01-07,16:04,Chuyển khoản,61657544,Thanh Hóa,Internet Banking,Thành công,
GD000396,KH0042,2024-02-19,13:32,Thanh toán hóa đơn,15539965,Đồng Nai,Mobile App,Thành công,Thanh toán tiền điện
GD000756,KH0119,2024-06-17,13:28,Rút tiền,189937090,Đồng Nai,POS,Thành công,
GD000790,KH0131,2024-06-04,16:35,Chuyển khoản,69751473,Cần Thơ,Mobile App,Thành công,
GD000569,KH0161,2024-01-06,11:40,Nạp tiền,66281649,Cần Thơ,Mobile App,Thành công,
GD000624,KH0139,2024-04-06,10:10,Chuyển khoản,978243923,Hà Nội,ATM,Thành công,
GD000678,KH0172,2024-01-22,16:57,Chuyển khoản,28785910,Hải Phòng,Mobile App,Thành công,
GD000933,KH0087,2024-02-24,13:51,Mua ngoại tệ,165845188,Bình Dương,ATM,Thành công,
GD000682,KH0076,2024-06-02,11:27,Nạp tiền,142468659,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000826,KH0014,2024-03-01,09:25,Thanh toán hóa đơn,124390667,Khánh Hòa,Mobile App,Thành công,
GD000988,KH0133,2024-03-30,14:23,Nạp tiền,33781853,TP. Hồ Chí Minh,Quầy giao dịch,Thành công,
GD000160,KH0129,2024-01-31,17:34,Chuyển khoản,174326817,Đồng Nai,Internet Banking,Thành công,
GD000720,KH0161,2024-05-18,10:54,Mua ngoại tệ,128278502,Nghệ An,Mobile App,Thành công,
GD000265,KH0056,2024-02-03,09:01,Thanh toán hóa đơn,123337797,Thanh Hóa,ATM,Thành công,
GD000057,KH0086,2024-06-07,15:21,Thanh toán hóa đơn,159606135,Đà Nẵng,Mobile App,Thành công,
GD000375,KH0119,2024-03-28,11:27,Thanh toán hóa đơn,149956926,TP. Hồ Chí Minh,Mobile App,Thành công,
GD000739,KH0018,2024-04-06,16:51,Thanh toán hóa đơn,145399465,Đồng Nai,POS,Thành công,
GD000482,KH0028,2024-06-04,13:23,Chuyển khoản,137316298,,POS,Thành công,
GD000762,KH0021,2024-03-25,08:06,Rút tiền,45421666,Cần Thơ,ATM,Thành công,
GD000970,KH0057,2024-05-22,10:45,Chuyển khoản,169235972,Đồng Nai,POS,Thành công,
GD000664,KH0130,2024-01-17,13:42,Thanh toán hóa đơn,66025024,Thanh Hóa,Mobile App,Thành công,
GD000723,KH0088,2024-03-18,12:54,Thanh toán hóa đơn,184854843,Thanh Hóa,POS,Thành công,
GD000691,KH0125,2024-03-21,11:59,Mua ngoại tệ,16307243,Hải Phòng,Mobile App,Thất bại,
GD000075,KH0003,2024-06-27,14:44,Rút tiền,24029628,Hà Nội,Quầy giao dịch,Thành công,
GD000174,KH0051,2024-02-07,15:51,Chuyển khoản,169339352,Nghệ An,ATM,Thành công,
GD000013,KH0030,2024-01-07,14:58,Mua ngoại tệ,189038711,Khánh Hòa,ATM,Thành công,
GD000118,KH0014,2024-02-08,14:36,Thanh toán hóa đơn,48464150,Hà Nội,Mobile App,Thành công,
GD000147,KH0035,2024-04-10,12:40,Rút tiền,195826575,  Bình Dương  ,POS,Thành công,
GD000291,KH0171,2024-06-03,16:17,Rút tiền,67344046,Khánh Hòa,,Thành công,Thanh toán tiền điện
GD000415,KH0147,2024-05-02,17:11,Thanh toán hóa đơn,116458775,Cần Thơ,Internet Banking,Thành công,
GD000296,KH0022,2024-06-25,13:10,Chuyển khoản,176618194,Đồng Nai,,Đang xử lý,
GD000031,KH0107,2024-02-15,14:50,Thanh toán hóa đơn,77753199,TP. HỒ CHÍ MINH,Internet Banking,Thành công,
GD000586,KH0200,2024-02-17,17:25,Rút tiền,109352298,HẢI PHÒNG,Mobile App,Thành công,Thanh toán tiền điện
GD000849,KH0045,2024-06-30,10:12,Chuyển khoản,173230568,,Internet Banking,Thành công,
GD000007,KH0140,2024-05-09,08:24,Thanh toán hóa đơn,100257597,Cần Thơ,Internet Banking,Thành công,
GD000480,KH0040,2024-02-25,11:01,Nạp tiền,185700423,Đà Nẵng,Internet Banking,Thành công,
GD000749,KH0130,2024-04-02,17:21,Nạp tiền,129214073,Hà Nội,Internet Banking,Thành công,Mua sắm online
GD000374,KH0073,2024-03-29,14:52,Mua ngoại tệ,-4400394,Đà Nẵng,Mobile App,Thành công,
GD000511,KH0132,2024-01-17,17:21,Thanh toán hóa đơn,74766362,Cần Thơ,ATM,Thành công,
GD000688,KH0177,2024-02-02,09:01,Thanh toán hóa đơn,87613811,Hải Phòng,ATM,Thành công,Thanh toán tiền điện
GD000562,KH0062,2024-05-23,15:22,Nạp tiền,21041561,Thanh Hóa,Quầy giao dịch,Thành công,
GD000616,KH0190,2024-02-08,17:21,Thanh toán hóa đơn,116120731,,POS,Thành công,
GD000094,KH0136,2024-04-01,10:06,Rút tiền,197903075,TP. Hồ Chí Minh,POS,Thành công,
GD000798,KH0159,2024-06-22,17:41,Nạp tiền,65203639,Đồng Nai,POS,Thành công,
GD000583,KH0163,2024-01-10,08:34,Thanh toán hóa đơn,25436633,Đà Nẵng,ATM,Thành công,
GD000069,KH0090,2024-01-23,11:13,Mua ngoại tệ,163865904,Đồng Nai,Mobile App,Thành công,
GD000295,KH0008,31/05/2024,13:51,Mua ngoại tệ,91655350,Đồng Nai,Quầy giao dịch,Thành công,
GD000989,KH0058,2024-05-25,13:06,Rút tiền,123925161,Bình Dương,POS,Thành công,
GD000186,KH0054,2024-05-01,13:10,Chuyển khoản,32837112,Cần Thơ,Quầy giao dịch,Thành công,
GD000067,KH0050,2024-04-08,15:26,Thanh toán hóa đơn,131234277,Đà Nẵng,Mobile App,Thành công,
GD000461,KH0175,2024-04-09,17:04,Rút tiền,26197234,TP. Hồ Chí Minh,POS,Thành công,
GD000995,KH0028,2024-02-25,22:14,Rút tiền,18228667,Hà Nội,ATM,Thành công,
GD000311,KH0146,31/01/2024,15:52,Thanh toán hóa đơn,51198809,Cần Thơ,Mobile App,Thành công,
GD000541,KH0171,2024-03-12,16:48,Rút tiền,144959444,  Nghệ An  ,Internet Banking,Thành công,
GD000912,KH0063,2024-06-13,08:50,Thanh toán hóa đơn,147778477,Đà Nẵng,POS,Thất bại,
GD000373,KH0059,2024-01-26,16:12,Nạp tiền,81309595,Cần Thơ,Mobile App,Thành công,Mua sắm online
GD000439,KH0006,2024-02-12,10:18,Chuyển khoản,186291414,Hải Phòng,POS,Thành công,
GD000014,KH0023,2024-06-23,13:45,Chuyển khoản,80569007,Đà Nẵng,Mobile App,Thành công,Trả nợ vay
GD000087,KH0134,2024-04-15,09:37,Chuyển khoản,105907869,Hà Nội,Mobile App,Thành công,
GD000910,KH0143,2024-02-24,09:00,Rút tiền,4419445,Hà Nội,ATM,Đang xử lý,
GD000816,KH0172,2024-06-18,11:57,Mua ngoại tệ,4747424,Cần Thơ,ATM,Thành công,
GD000746,KH0146,2024-03-06,09:10,Chuyển khoản,17790651,Hải Phòng,ATM,Thành công,
GD000393,KH0074,2024-05-27,12:55,Thanh toán hóa đơn,106952936,Đồng Nai,POS,Thành công,
GD000276,KH0155,2024-06-03,13:25,Rút tiền,103696317,BÌNH DƯƠNG,Quầy giao dịch,Thành công,
GD000727,KH0101,2024-01-01,12:59,Thanh toán hóa đơn,156704530,Cần Thơ,Quầy giao dịch,Thành công,
GD000126,KH0170,2024-06-14,15:39,Nạp tiền,92048931,Đà Nẵng,ATM,Thành công,
GD000362,KH0110,2024-06-07,08:29,Mua ngoại tệ,27615545,TP. Hồ Chí Minh,Mobile App,Thành công,
GD000129,KH0124,2024-03-29,10:53,Mua ngoại tệ,3175894,Đà Nẵng,ATM,Thành công,
GD000030,KH0041,2024-04-14,15:30,Rút tiền,76665597,TP. Hồ Chí Minh,POS,Thành công,
GD000104,KH0058,2024-03-09,09:05,Nạp tiền,158353487,Hải Phòng,POS,Thành công,
GD000026,KH0029,18/02/2024,10:26,Rút tiền,126645626,TP. Hồ Chí Minh,POS,Thành công,Lương tháng 2
GD000081,KH0080,2024-06-19,09:00,Rút tiền,93117949,Nghệ An,Quầy giao dịch,Thành công,
GD000623,KH0094,2024-01-29,11:19,Thanh toán hóa đơn,71234074,Thanh Hóa,,Thành công,
GD000036,KH0130,2024-02-21,13:54,Mua ngoại tệ,192496200,Thanh Hóa,ATM,Thành công,Trả nợ vay
GD000214,KH0035,2024-04-10,10:29,Mua ngoại tệ,122103094,Hà Nội,Mobile App,Thành công,
GD000531,KH0147,2024-04-05,09:41,Thanh toán hóa đơn,87705058,Thanh Hóa,ATM,Thành công,Mua sắm online
GD000592,KH0175,2024-01-26,14:26,Rút tiền,37247648,Thanh Hóa,POS,Đang xử lý,
GD000770,KH0055,2024-05-29,12:19,Mua ngoại tệ,21434410,Nghệ An,POS,Thành công,
GD000561,KH0001,2024-02-29,17:09,Rút tiền,86845350,Hà Nội,POS,Thành công,
GD000559,KH0163,2024-05-23,08:59,Rút tiền,114447970,Thanh Hóa,ATM,Thành công,
GD000949,KH0013,2024-04-14,08:22,Mua ngoại tệ,122703006,Khánh Hòa,Internet Banking,Thành công,
GD000736,KH0043,2024-05-13,17:03,Mua ngoại tệ,198986156,Đà Nẵng,ATM,Thành công,
GD000422,KH0045,2024-05-14,15:06,Mua ngoại tệ,75747919,Nghệ An,Internet Banking,Thành công,
GD000575,KH0179,2024-05-14,10:08,Nạp tiền,24316202,Cần Thơ,Quầy giao dịch,Đang xử lý,Thanh toán tiền điện
GD000612,KH0073,2024-01-29,09:20,Thanh toán hóa đơn,158375465,Cần Thơ,ATM,Thành công,
GD000656,KH0104,2024-04-21,15:06,Nạp tiền,82163757,Khánh Hòa,Internet Banking,Thành công,
GD000577,KH0119,2024-06-29,14:08,Nạp tiền,87858415,Cần Thơ,ATM,Thành công,
GD000652,KH0079,2024-01-08,13:54,Chuyển khoản,166714164,Khánh Hòa,Quầy giao dịch,Thành công,Trả nợ vay
GD000143,KH0083,2024-04-07,14:16,Mua ngoại tệ,-4435801,Bình Dương,ATM,Thành công,
GD000089,KH0031,2024-01-24,17:02,Rút tiền,24534777,Hải Phòng,Internet Banking,Thành công,
GD000846,KH0035,2024-01-02,12:23,Rút tiền,19578186,Hải Phòng,Internet Banking,Thất bại,
GD000667,KH0093,2024-02-27,10:24,Nạp tiền,5670266,Đồng Nai,ATM,Thành công,Mua sắm online
GD000902,KH0040,2024-04-24,15:43,Mua ngoại tệ,121047313,Khánh Hòa,Mobile App,Thành công,
GD000513,KH0060,2024-03-01,14:48,Thanh toán hóa đơn,67288746,Hà Nội,ATM,Thành công,
GD000669,KH0159,2024-04-03,14:23,Nạp tiền,29215561,Nghệ An,POS,Thành công,
GD000938,KH0149,2024-06-27,11:01,Chuyển khoản,42241486,Bình Dương,Quầy giao dịch,Thành công,
GD000070,KH0044,2024-03-23,17:17,Mua ngoại tệ,25611810,Đà Nẵng,Internet Banking,Thành công,
GD000898,KH0065,2024-05-16,08:00,Mua ngoại tệ,1519164228,Thanh Hóa,ATM,Thành công,
GD000863,KH0199,2024-05-13,12:11,Chuyển khoản,-4784086,Đồng Nai,Quầy giao dịch,Thành công,
GD000041,KH0148,2024-06-02,11:19,Rút tiền,111064222,Cần Thơ,POS,Thành công,
GD000127,KH0043,2024-01-29,10:06,Thanh toán hóa đơn,152774589,Khánh Hòa,Quầy giao dịch,Thành công,
GD000803,KH0051,2024-05-06,13:14,Chuyển khoản,194225690,Hà Nội,POS,Thành công,Lương tháng 5
GD000163,KH0143,2024-05-03,15:16,Nạp tiền,106922141,Đà Nẵng,Mobile App,Thành công,
GD000998,KH0185,2024-04-15,16:29,Chuyển khoản,170791674,Khánh Hòa,Internet Banking,Thành công,
GD000864,KH0097,02/02/2024,11:44,Nạp tiền,102188515,Hà Nội,Internet Banking,Thành công,Lương tháng 2
GD000615,KH0086,2024-06-11,09:35,Chuyển khoản,23599911,Thanh Hóa,Mobile App,Thành công,
GD000523,KH0183,2024-03-18,12:55,Rút tiền,187356661,Nghệ An,ATM,Thành công,Lương tháng 3
GD000806,KH0019,2024-02-01,17:18,Chuyển khoản,106619449,Nghệ An,POS,Thành công,Thanh toán tiền điện
GD000883,KH0183,2024-01-31,17:27,Chuyển khoản,148185570,Hải Phòng,POS,Thành công,
GD000354,KH0138,2024-01-21,09:34,Chuyển khoản,119551229,Hà Nội,POS,Thành công,Trả nợ vay
GD000948,KH0013,2024-03-11,11:54,Rút tiền,96465373,Đà Nẵng,Quầy giao dịch,Thành công,Mua sắm online
GD000819,KH0070,2024-06-09,10:30,Rút tiền,1933909908,Nghệ An,ATM,Thành công,
GD000367,KH0185,2024-02-14,10:12,Chuyển khoản,27213043,TP. Hồ Chí Minh,Internet Banking,Thành công,
GD000640,KH0179,2024-06-11,11:35,Mua ngoại tệ,93610263,Đà Nẵng,Quầy giao dịch,Thành công,
GD000499,KH0116,2024-05-14,13:56,Nạp tiền,74204524,Cần Thơ,Quầy giao dịch,Thành công,
GD000500,KH0089,2024-03-14,03:09,Thanh toán hóa đơn,77837703,Thanh Hóa,ATM,Đang xử lý,Mua sắm online
GD000101,KH0042,2024-01-20,09:21,Mua ngoại tệ,189164027,TP. Hồ Chí Minh,POS,Thành công,Lương tháng 1
GD000350,KH0167,2024-02-02,09:54,Mua ngoại tệ,100258357,Nghệ An,POS,Thành công,
GD000372,KH0087,2024-04-19,13:51,Thanh toán hóa đơn,48251808,Khánh Hòa,Quầy giao dịch,Thành công,Mua sắm online
GD000369,KH0151,2024-02-18,10:20,Rút tiền,33995953,Nghệ An,Mobile App,Thành công,Trả nợ vay
